RANKING;COUNTRY;COU;PLAYER;MARKED;MATCHES;GOALS;DEBUT;POSITION;WC;WC_DESC;UCL/MUNDIALCLUB;UCL_DESC;EUROAMERICAN;EURO_DESC;BOTH;SOLO_AWARD;SOLO_AWARD2;AWARD_DESC;ENGLAND;SPAIN;ITALY;GERMANY;FRANCE;NONSTRIKER
35;ALG;ALG;Anis Hadj Moussa;0;9;0;2024;RIGHT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
35;ALG;ALG;Monsef Bakrar;0;6;0;2024;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
35;ALG;ALG;Mohamed Amoura;0;38;19;2021;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
35;ALG;ALG;Riyad Mahrez;2;107;34;2014;RIGHT;0;;1;22/23 Champions League;1;2019 African Cup of Nations;1;1;0;;1;0;0;0;0;0
35;ALG;ALG;Baghdad Bounedjah;1;82;35;2013;CENTER;0;;0;;1;2019 African Cup of Nations;0;1;0;;0;0;0;0;0;0
34;EGY;EGY;Osama Faisal;0;14;0;2021;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
34;EGY;EGY;Salah Mohsen;0;7;1;2017;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
34;EGY;EGY;Taher Mohamed;0;6;1;2018;RIGHT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
34;EGY;EGY;Omar Marmoush;0;40;8;2021;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
34;EGY;EGY;Mostafa Mohamed;0;53;13;2019;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
34;EGY;EGY;Zizo;0;52;4;2019;RIGHT;0;;0;;0;;0;1;0;;0;0;0;0;0;0
34;EGY;EGY;Mohamed Salah;1;107;61;2011;RIGHT;0;;1;18/19 Champions League;0;;0;1;0;;1;0;0;0;0;0
33;RUS;RUS;Konstantin Tyukavin;0;8;1;2021;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
33;RUS;RUS;Lechi Sadulaev;0;11;2;2022;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
33;RUS;RUS;Maksim Glushenkov;0;8;3;2022;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
33;RUS;RUS;Nikolay Komlichenko;0;9;1;2019;CENTER;0;;0;;0;;0;1;0;;0;0;0;0;0;0
33;RUS;RUS;Ivan Sergeev;0;11;3;2023;CENTER;0;;0;;0;;0;1;0;;0;0;0;0;0;0
33;RUS;RUS;Aleksey Miranchuk;0;50;10;2015;CENTER;0;;0;;0;;0;0;0;;0;0;1;0;0;1
32;WAL;WAL;Mark Harris;0;16;0;2021;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
32;WAL;WAL;Lewis Koumas;0;9;0;2024;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
32;WAL;WAL;Sorba Thomas;0;23;1;2021;RIGHT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
32;WAL;WAL;Liam Cullen;0;14;2;2023;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
32;WAL;WAL;Nathan Broadhead;0;17;4;2023;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
32;WAL;WAL;Brennan Johnson;0;42;7;2020;RIGHT;0;;0;;0;;0;0;0;;1;0;0;0;0;0
32;WAL;WAL;Daniel James;0;61;9;2018;RIGHT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
32;WAL;WAL;Harry Wilson;0;67;17;2013;RIGHT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
32;WAL;WAL;David Brooks;0;41;6;2017;RIGHT;0;;0;;0;;0;1;0;;0;0;0;0;0;0
31;POL;POL;Michal Skoras;0;13;0;2022;RIGHT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
31;POL;POL;Jakub Kaminski;0;27;3;2021;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
31;POL;POL;Adam Buksa;0;25;7;2021;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
31;POL;POL;Karol Swiderski;0;47;13;2021;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
31;POL;POL;Kamil Grosicki;0;100;17;2008;LEFT;0;;0;;0;;0;1;0;;0;0;0;0;0;0
31;POL;POL;Robert Lewandoski;1;163;88;2008;CENTER;0;;1;19/20 Champions League;0;;0;0;1;x2 FIFA The Best;0;1;0;1;0;0
30;PAN;PAN;Omar Browne;0;15;0;2018;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
30;PAN;PAN;Azarias Londono;0;11;1;2022;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
30;PAN;PAN;Tomas Rodriguez;0;11;3;2022;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
30;PAN;PAN;Jose Luis Rodriguez;0;66;8;2018;LEFT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
30;PAN;PAN;Alberto Quintero;0;139;7;2007;RIGHT;0;;0;;0;;0;0;0;;0;0;0;0;0;0
30;PAN;PAN;Cecilio Waterman;0;50;14;2010;CENTER;0;;0;;0;;0;0;0;;0;0;0;0;0;0
